Format Version,1.21,Take Name,Outdoor_2018_05_17_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-05-17 08.10.51 PM,Total Frames in Take,44265,Total Exported Frames,44265,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
138,1.150000,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
139,1.158333,-0.003972,0.999689,-0.000346,-0.024626,-0.070399,0.217144,0.340966,0.000404
140,1.166667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
141,1.175000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
142,1.183333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
143,1.191667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
144,1.200000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
145,1.208333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
146,1.216667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
147,1.225000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
148,1.233333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
149,1.241667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
150,1.250000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
151,1.258333,-0.002574,0.999705,-0.001201,-0.024110,-0.070650,0.216905,0.341069,0.000790
152,1.266667,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
153,1.275000,-0.002682,0.999720,-0.001267,-0.023466,-0.070539,0.216894,0.341010,0.000872
154,1.283333,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
155,1.291667,-0.002367,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
156,1.300000,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
157,1.308333,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
158,1.316667,-0.002368,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
159,1.325000,-0.002368,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
160,1.333333,-0.003972,0.999689,-0.000346,-0.024626,-0.070399,0.217144,0.340966,0.000404
161,1.341667,-0.003971,0.999689,-0.000346,-0.024627,-0.070399,0.217144,0.340966,0.000404
162,1.350000,-0.002368,0.999711,-0.000641,-0.023917,-0.070610,0.216969,0.341059,0.000817
163,1.358333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
164,1.366667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
165,1.375000,-0.003972,0.999689,-0.000346,-0.024626,-0.070399,0.217144,0.340966,0.000404
166,1.383333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
167,1.391667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
168,1.400000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
169,1.408333,-0.002573,0.999705,-0.001202,-0.024110,-0.070649,0.216905,0.341069,0.000790
170,1.416667,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
171,1.425000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
172,1.433333,-0.002574,0.999705,-0.001201,-0.024110,-0.070650,0.216905,0.341069,0.000790
173,1.441667,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
174,1.450000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
175,1.458333,-0.002368,0.999711,-0.000640,-0.023914,-0.070612,0.216969,0.341059,0.000817
176,1.466667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
177,1.475000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
178,1.483333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
179,1.491667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
180,1.500000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
181,1.508333,-0.002305,0.999724,-0.000328,-0.023394,-0.070519,0.217004,0.341016,0.000886
182,1.516667,-0.002682,0.999720,-0.001267,-0.023466,-0.070540,0.216895,0.341010,0.000872
183,1.525000,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
184,1.533333,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
185,1.541667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
186,1.550000,-0.003971,0.999689,-0.000346,-0.024627,-0.070399,0.217144,0.340966,0.000404
187,1.558333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
188,1.566667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
189,1.575000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
190,1.583333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
191,1.591667,-0.002681,0.999720,-0.001267,-0.023467,-0.070539,0.216894,0.341010,0.000872
192,1.600000,-0.002368,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
193,1.608333,-0.002367,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
194,1.616667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
195,1.625000,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
196,1.633333,-0.002306,0.999724,-0.000328,-0.023393,-0.070519,0.217004,0.341016,0.000886
197,1.641667,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
198,1.650000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
199,1.658333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
200,1.666667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
201,1.675000,-0.002306,0.999724,-0.000328,-0.023393,-0.070519,0.217004,0.341016,0.000886
202,1.683333,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
203,1.691667,-0.002682,0.999720,-0.001267,-0.023467,-0.070539,0.216895,0.341010,0.000872
204,1.700000,-0.002573,0.999705,-0.001202,-0.024110,-0.070650,0.216904,0.341069,0.000790
205,1.708333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
206,1.716667,-0.002368,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
